datetime,Open,High,Low,Close,Volume,EMA25,EMA50,EMA100,MACD,MACD_Signal,MACD_Hist,K,D,J,BB_Mid,BB_Upper,BB_Lower,ATR,Ichimoku_Conversion,Ichimoku_Base,Ichimoku_Leading_A,Ichimoku_Leading_B,SAR
2024-01-09 09:00:00,1.09503,1.0963,1.09458,1.09566,8581,1.0953093,1.0949867,1.0954682,0.00023081868,0.00032784443,-9.702575e-05,43.654034,45.634327,39.69344,1.095704,1.0972321,1.0941758,0.0009507143,1.09561,1.09507,1.09534,1.093785,1.0937245
2024-01-09 10:00:00,1.09566,1.09568,1.09388,1.095,9553,1.0952854,1.0949873,1.0954589,0.00017217701,0.00029671093,-0.00012453394,42.629257,44.632637,38.622498,1.0957295,1.0971878,1.0942713,0.0009564286,1.09526,1.09507,1.095165,1.093785,1.0938078
2024-01-09 11:00:00,1.095,1.09507,1.0938,1.09441,8601,1.0952181,1.0949646,1.0954381,7.7205026e-05,0.00025280975,-0.00017560473,35.57913,41.614803,23.507786,1.095696,1.097245,1.094147,0.0009757143,1.09522,1.09507,1.095145,1.093785,1.09789
2024-01-09 12:00:00,1.09442,1.09482,1.09324,1.09355,7889,1.0950898,1.0949091,1.0954007,-6.668704e-05,0.0001889104,-0.00025559744,26.758636,36.662746,6.9504137,1.095573,1.0973853,1.0937606,0.0010035714,1.09494,1.09507,1.095005,1.093785,1.0978082
2024-01-09 13:00:00,1.09355,1.0936,1.09286,1.09314,6657,1.0949398,1.0948398,1.095356,-0.00021136957,0.00010885441,-0.00032022397,20.308226,31.211239,-1.4978008,1.0953815,1.0973729,1.0933901,0.0010092857,1.09475,1.095375,1.0950625,1.093785,1.0976255
2024-01-09 14:00:00,1.09314,1.09418,1.09286,1.09405,11352,1.0948714,1.0948088,1.0953301,-0.00024972347,3.713883e-05,-0.0002868623,25.069826,29.1641,16.881273,1.095207,1.0970042,1.0934099,0.0010321429,1.09458,1.095375,1.0949775,1.093785,1.0973395
2024-01-09 15:00:00,1.09406,1.09469,1.09328,1.09462,17469,1.094852,1.0948014,1.095316,-0.00023145688,-1.6580312e-05,-0.00021487658,33.76748,30.69856,39.90532,1.095115,1.0968285,1.0934016,0.0011085714,1.09458,1.095375,1.0949775,1.093785,1.0970708
2024-01-09 16:00:00,1.09462,1.09514,1.09379,1.09455,18913,1.0948287,1.0947915,1.0953008,-0.00022009182,-5.7282614e-05,-0.00016280921,38.887623,33.42825,49.80637,1.0950655,1.0967845,1.0933465,0.0011321428,1.09458,1.095375,1.0949775,1.093785,1.0968181
2024-01-09 17:00:00,1.09454,1.09469,1.09175,1.09179,18678,1.0945951,1.0946739,1.0952313,-0.00042885033,-0.00013159616,-0.00029725418,26.218122,31.024874,16.60462,1.09485,1.0970392,1.0926608,0.0012664286,1.094025,1.09482,1.0944225,1.093785,1.0965806
2024-01-09 18:00:00,1.0918,1.09353,1.09101,1.09343,14479,1.0945054,1.094625,1.0951957,-0.0004566942,-0.00019661576,-0.00026007844,34.752125,32.26729,39.721794,1.094752,1.0970137,1.0924903,0.001415,1.093345,1.09445,1.0938975,1.093785,1.0961941
